depth D2,Dendritic_Length,Dendritic_Volume,Dendritic_Width,Dendritic_Branchpoints,Dendritic_Branchorder_Avg,Dendritic_Branchorder_Max,Dendritic_Endpoint_Avg,Dendritic_Endpoint_Max,Dendritic_Endpoint_Sum,Dendritic_Endpoint_Centroid,Apical_Length,Apical_Volume,Apical_Width,Apical_Height,Apical_Endpoint_Centroid,Basal_Length,Basal_Volume,Basal_Width,Basal_Height,Basal_Branchpoints
1160.8,14176.69357,179369483.7,548.2800831,96,7.385416667,18,487.1099235,1084.563114,50172.32212,419.3792354,8888.488016,163420059.6,548.2800831,1095.394437,660.243773,5288.205552,26540452.74,463.7660096,247.2200206,33
1106.27,15481.65369,446400433.5,866.1266889,77,5.480519481,17,411.7649226,1128.733668,36647.07812,230.5400583,8996.804103,374886151.2,843.3887366,1109.37343,538.4714793,6484.849587,55352063.75,714.7189664,218.0531801,39
1179.08,17686.00037,271489463.1,649.2515095,94,7.787234043,19,399.2318303,1138.619724,40721.64669,354.8969623,9808.499492,187756321,585.5028229,1113.166438,648.3650078,7877.500875,63673581.05,644.1469674,308.6139566,43
1041.91,13275.65539,227496499.3,639.82527,65,6.169230769,15,404.7898637,1024.02002,29954.44991,329.0039941,8973.394584,203827603.6,626.5615686,1043.018096,492.7016841,4302.260802,35519035.51,520.3739314,262.4839758,20
1178.1,13145.60214,228677344.2,577.0053794,56,1.696428571,5,460.6876265,1148.724792,31787.44623,280.1614724,7364.493947,130740959.3,495.8005266,1146.051028,532.1020623,5781.108189,56451709.99,551.7746002,370.8962891,21
1226.77,11812.80057,206150029.2,558.0073658,64,4.890625,12,526.3567107,1186.542098,38424.03988,356.8589806,6837.824947,130559024.3,471.2423758,1175.848563,670.2077262,4974.975624,36265628.07,538.3280917,253.7847685,26
1191.67,7764.200771,168627867.8,529.4191761,59,5.186440678,16,303.7544693,1117.589404,20655.30391,424.4981926,4625.876569,153383897.8,529.4191761,1104.138542,652.0599044,3138.324202,12905782.32,419.2058291,154.4505809,26
1250.56,17133.6032,456711064.1,804.2505467,92,8.304347826,19,553.2817581,1279.460492,56988.02108,455.7909706,9800.590489,409537305.5,804.2505467,1268.41039,757.3608,7333.012706,51602458.57,577.7540656,315.0764819,33
1059.95,15146.0217,206180636.8,574.5135066,80,6.0875,17,364.9661507,1084.291614,32846.95356,266.3372964,8084.281504,165336898.9,560.8417415,1051.819561,529.5423988,7061.740197,31834646.63,450.6402091,313.6853645,31
1005.39,19129.40639,304316696,700.5797683,101,4.079207921,13,364.7156032,1009.941629,40848.14756,193.3922343,7216.906537,204839600.8,645.6437127,996.9896524,621.9237164,11912.49985,101243597,676.9145203,442.2239292,63
1273.1,19482.18648,360675633.5,747.2902601,127,6.88976378,20,480.2933037,1183.669121,64839.596,318.9350789,10469.77054,314820936.5,747.2902601,1152.870537,663.595609,9012.415944,45991381.33,566.6384592,288.2846665,55
1169.47,17914.39528,186329159.5,531.1057338,116,5.155172414,19,328.1143386,1148.874628,41342.40666,199.1746989,8471.292111,124150684.5,467.9509499,1133.910528,489.1328639,9443.103172,41168455.29,525.8158734,297.9058851,65
1120.43,16473.67735,212406460.8,586.2292852,115,6.443478261,24,287.9531088,1020.664926,34842.32617,88.63008265,6622.901308,137262446.2,494.1606798,1127.908237,282.6278943,9850.776037,54858772.43,573.7413752,333.5136415,62
1235.98,16100.74652,272175445.9,614.78579,105,9.304761905,26,470.1703839,1239.164895,52188.91261,339.0809575,8382.082863,226669764.1,590.9508794,1306.609089,749.4814146,7718.663661,70250594.13,602.4923117,397.6991352,44
