depth D2,Dendritic_Length,Dendritic_Volume,Dendritic_Width,Dendritic_Branchpoints,Dendritic_Branchorder_Avg,Dendritic_Branchorder_Max,Dendritic_Endpoint_Avg,Dendritic_Endpoint_Max,Dendritic_Endpoint_Sum,Dendritic_Endpoint_Centroid,Apical_Length,Apical_Volume,Apical_Width,Apical_Height,Apical_Endpoint_Centroid,Basal_Length,Basal_Volume,Basal_Width,Basal_Height,Basal_Branchpoints
1487.38,8053.776214,116264691.7,481.1484172,37,1.783783784,5,206.1295118,800.6974062,8863.569006,42.92498647,1763.337465,15217752.9,194.7690242,803.5529567,297.6562562,6290.438749,43228550.03,481.1484172,384.0178794,32
1314.53,5707.329874,56966741.07,408.7394123,35,2,5,159.9389519,434.5437869,6557.497028,4.257379282,1453.150542,18163524.63,303.263389,431.0650037,135.3465318,4254.179332,29718682.37,406.1371303,360.5782348,27
1610.03,5940.719002,140116945.2,562.6329061,27,3.037037037,10,230.5054376,633.3479803,7606.679441,126.6476292,3193.556899,68139542.91,472.80277,614.1783564,277.5021804,2747.162103,39648998.77,517.5712321,381.2783714,13
1313.04,5698.218243,68179685.17,451.3474901,33,1.96969697,6,168.7916595,496.9839831,6751.666378,34.89978369,1868.062186,16311518.53,281.4462455,487.019799,157.5146004,3830.156057,33506184.37,451.3474901,332.5468889,22
1326.08,5760.323118,52281985,429.9855304,27,1.777777778,5,175.9988768,378.1308312,5807.962936,12.592162,1670.586479,28733467.43,389.4721402,378.9518506,122.4834302,4089.736639,26794472.61,421.3743031,308.5817742,20
1394.35,5874.788207,73318483.61,462.5146546,25,3.6,10,189.5852383,500.2654575,6066.727625,52.58025565,2336.211478,34387294.91,372.0148175,496.9749089,164.9602682,3538.576729,30925139.29,462.5146546,290.058136,14
1380.54,5594.890272,65166143.56,399.4417777,23,1.869565217,7,188.4364413,660.1429829,5841.52968,44.0066772,2282.342192,33389055.55,327.8117921,655.9050895,166.8690849,3312.54808,22488760.02,388.4506263,301.4819823,13
1377.32,8589.350347,129275804.8,506.2444071,46,3.130434783,8,198.370101,791.0070836,10116.87515,50.25162652,3604.548856,44264193.65,333.390692,796.6681912,200.8646728,4984.801492,42905220.32,506.2444071,335.8786193,27
1211.18,7070.362045,94667746.01,540.6730675,36,2.055555556,8,176.0352828,522.9046351,7569.517161,29.5422644,2315.068247,41298143.23,386.5240544,574.0596869,131.2190025,4755.293798,33992215.82,534.7171938,237.7906743,25
1372.53,6951.126156,82205894,460.0991277,38,3.236842105,10,180.9617742,624.5444669,7600.394515,45.98300435,4080.676679,61905588.33,427.1969172,726.2735033,110.2539666,2870.449478,19223080.67,375.0341241,276.2927568,17
1502.56,10282.04398,164763634,527.6589269,38,2.894736842,11,215.9732382,914.8976107,9502.82248,41.95404191,4226.983904,101442182.6,462.4205827,992.8110416,137.232459,6055.060078,54670541,508.708909,422.9669451,22
1423.99,10282.63554,103211059.3,559.9638533,47,3.404255319,15,201.2003314,489.1936071,11267.21856,70.49824921,4592.397116,79564282.78,550.7310009,524.9965446,166.7601719,5690.238426,37791112.91,485.9595554,320.0917564,28
1462.57,8663.424242,88221647.36,499.2349117,43,3.348837209,11,193.9342034,613.235042,9502.775967,71.2674669,4270.816122,67041824.25,483.6002058,580.03191,167.824212,4392.60812,25487872.33,456.6784199,257.6233566,22
