depth D2,Dendritic_Length,Dendritic_Volume,Dendritic_Width,Dendritic_Branchpoints,Dendritic_Branchorder_Avg,Dendritic_Branchorder_Max,Dendritic_Endpoint_Avg,Dendritic_Endpoint_Max,Dendritic_Endpoint_Sum,Dendritic_Endpoint_Centroid,Apical_Length,Apical_Volume,Apical_Width,Apical_Height,Apical_Endpoint_Centroid,Basal_Length,Basal_Volume,Basal_Width,Basal_Height,Basal_Branchpoints
1495.34,5809.639478,34952904.88,292.4924113,31,5.64516129,17,198.2381681,749.8795398,8524.241226,134.9310927,3036.704231,18430198.18,225.5172426,751.4755738,270.8459197,2772.935247,5915919.867,292.4924113,138.3146862,11
1365.63,4234.106575,20463056.88,246.9209585,28,5.642857143,14,203.13586,611.1782895,6703.483379,130.2705341,2920.721839,17431141.42,240.5307139,602.9369143,200.6787503,1313.384736,3417515.2,236.3455272,124.2874608,6
1366.74,5171.056792,25934177.83,259.8247356,34,5.205882353,12,231.637356,726.6281776,9265.494241,159.9838645,3292.882476,19014964.51,227.3371833,736.4176518,259.9579012,1878.174315,4501280.322,252.5951727,146.7150173,10
1504.46,5303.237694,35342869.78,323.0466842,32,3.5,11,171.5159773,596.9456332,6174.575184,126.1794838,3757.390446,22228399.3,275.3659876,586.7669022,192.0723645,1545.847249,5110039.91,289.0056997,122.6504827,11
1407.6,6188.647316,40826195.52,334.2489123,41,4.780487805,16,161.3010824,636.1103532,7581.150874,98.55594125,3836.091932,30378417.01,298.889154,685.8842369,173.6660913,2352.555384,7119088.737,300.4840112,168.8256206,16
1575.21,6568.051407,46928329.74,347.9113392,45,6.688888889,21,198.0467125,681.7885944,9902.335623,131.5904506,3827.483911,26520252.06,278.8356009,685.2620175,240.5424518,2740.567496,10357124.96,347.9113392,174.1226531,16
1527.97,6007.094089,42503540.95,338.3761819,42,4.857142857,13,210.225907,685.8910163,10301.06944,157.5595608,3568.809469,20905057.25,247.5150419,684.8714971,277.9892264,2438.284619,7544948.196,337.7698849,134.8331297,17
1262.07,6001.548542,54920005.28,364.1315857,44,3.727272727,14,164.7223748,758.9950475,8565.563489,88.80072228,3181.654964,18795661.19,232.2951106,764.2532248,194.0089598,2819.893579,8051711.775,364.1315857,121.9885491,18
1521.72,6406.092166,66205509.17,436.0001609,40,4.5,14,181.7590392,587.9286147,8179.156763,104.9950009,3690.662909,36180593.91,352.2518342,583.8384931,198.3314956,2715.429257,17914919.49,429.0122417,194.6733685,19
1721.89,6892.048358,45498145.79,298.7472542,45,7.155555556,18,258.1419105,916.4064269,12907.09553,181.1834881,4713.995822,37756268.29,277.8881668,980.6971805,284.3562759,2178.052537,7257548.11,281.6976426,183.5467655,13
1616,6561.222604,50766698.89,312.3941921,38,5.710526316,14,250.2818925,937.7717746,12013.53084,204.5882204,3923.738847,25788791.95,233.2181219,959.077347,371.5481296,2637.483757,7678184.428,312.3941921,157.4508367,15
